"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Safariland",0.430155846189991,0.430155846189991,0.430155846189991,0.429739212154437,0.430155846189991,0.430409585715404,0.429739212154437,0.430155846189991,0.430409585715404,0.430409585715404,0.430409585715404,0.430409585715404,0.430409585715404,0.430155846189991,0.429739212154437,0.429739212154437,0.430155846189991,0.429739212154437,0.430155846189991,0.430409585715404,0.430409585715404,0.430155846189991,0.430409585715404,0.430155846189991,0.429341373639282,0.430409585715404,0.430155846189991,0.430409585715404,0.430155846189991,0.430409585715404,0.430409585715404,0.430155846189991,0.430155846189991,0.429739212154437,0.430155846189991,0.429341373639282,0.430409585715404,0.430155846189991,0.430409585715404,0.430409585715404,0.430155846189991,0.430409585715404,0.430155846189991,0.430155846189991,0.429739212154437,0.430409585715404,0.430409585715404,0.430080664108387,0.429739212154437,0.430409585715404,0.429739212154437,0.430155846189991,0.429341373639282,0.429739212154437,0.430155846189991,0.430409585715404,0.430409585715404,0.429739212154437,0.429739212154437,0.430155846189991,0.429924034771713,0.430409585715404,0.430155846189991,0.430409585715404,0.429739212154437,0.430409585715404,0.430409585715404,0.430155846189991,0.429215287023259,0.430155846189991,0.430155846189991,0.430155846189991,0.430409585715404,0.430409585715404,0.430409585715404,0.430409585715404,0.429739212154437,0.429564570444044,0.430155846189991,0.430155846189991,0.430155846189991,0.430409585715404,0.430409585715404,0.430155846189991,0.429739212154437,0.430155846189991,0.430155846189991,0.430155846189991,0.430155846189991,0.430409585715404,0.430155846189991,0.430155846189991,0.430409585715404,0.430155846189991,0.430155846189991,0.430155846189991,0.430155846189991,0.430155846189991,0.430409585715404,0.430155846189991
"barrett1987",0.567960330578513,0.566945454545455,0.566945454545455,0.566945454545455,0.567322314049588,0.5672826446281,0.568393388429753,0.566945454545455,0.56865785123967,0.567884297520662,0.567960330578513,0.566945454545455,0.567183471074381,0.567679338842976,0.56789090909091,0.568261157024794,0.566945454545455,0.568261157024794,0.566945454545455,0.568261157024794,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.567884297520662,0.568638016528926,0.566945454545455,0.567388429752066,0.568363636363637,0.56865785123967,0.568261157024794,0.568548760330579,0.56789090909091,0.568813223140496,0.566945454545455,0.56865785123967,0.568548760330579,0.568638016528926,0.566945454545455,0.56740826446281,0.566945454545455,0.568638016528926,0.567223140495868,0.566945454545455,0.566945454545455,0.56789090909091,0.567593388429753,0.568548760330579,0.566945454545455,0.567057851239671,0.567223140495868,0.568638016528926,0.566945454545455,0.566945454545455,0.568489256198348,0.56865785123967,0.567242975206612,0.567884297520662,0.567153719008266,0.566945454545455,0.566945454545455,0.566945454545455,0.568393388429753,0.568489256198348,0.568638016528926,0.568532231404959,0.567996694214877,0.568489256198348,0.566945454545455,0.568813223140496,0.568813223140496,0.568548760330579,0.566945454545455,0.567996694214877,0.56865785123967,0.567679338842976,0.566945454545455,0.566945454545455,0.568261157024794,0.567375206611571,0.566945454545455,0.56740826446281,0.568638016528926,0.568261157024794,0.568489256198348,0.566945454545455,0.568221487603306,0.568092561983472,0.567100826446281,0.567183471074381,0.566945454545455,0.56789090909091,0.566945454545455,0.567153719008266,0.566945454545455,0.567960330578513,0.568221487603306,0.56865785123967,0.56789090909091,0.566945454545455
"bezerra2009",0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366
"elberling1999",0.501053248709855,0.512212913033696,0.505573015018166,0.505702540749476,0.508136261069335,0.501925843110253,0.507665878150371,0.500330631472025,0.508674815425832,0.498612711246241,0.507693146725384,0.500978260128571,0.506077483655897,0.502362140310452,0.510781312845543,0.504080060536236,0.507093238075111,0.507175043800148,0.503057488973269,0.501905391678993,0.50078056295973,0.505416220711845,0.505675272174464,0.502989317535738,0.503296089004628,0.504775409199052,0.516814485067045,0.506220643674712,0.505695723605723,0.504816312061571,0.508177163931855,0.506541049431108,0.516030513535437,0.506656940874911,0.503296089004628,0.511851604414781,0.509997341313935,0.506636489443652,0.509008855469735,0.504843580636584,0.506356986549775,0.506861455187504,0.511026730020655,0.512942347415279,0.497399259658187,0.507434095262766,0.508436215394473,0.502989317535738,0.50557983216192,0.501387288753757,0.506377437981034,0.500316997184518,0.508163529644348,0.50200764883529,0.493302156262568,0.512342438765005,0.497044768183026,0.504952654936634,0.50343243187969,0.511367587208311,0.506152472237181,0.506827369468739,0.502143991710353,0.500078397153159,0.500426071484569,0.501141871578645,0.503405163304678,0.514967039109953,0.502825706085663,0.502232614579142,0.503091574692035,0.495879036601244,0.509704204132552,0.506772832318714,0.508606643988301,0.506581952293627,0.504059609104976,0.506486512281083,0.509383798376155,0.499485305646639,0.507106872362616,0.514796610516125,0.501053248709854,0.503575591898506,0.509329261226131,0.500719208665952,0.515014759116225,0.504175500548779,0.503493786173468,0.498776322696315,0.500541962928371,0.50415504911752,0.505279877836782,0.508886146882178,0.496104002345096,0.506861455187505,0.499389865634096,0.502852974660676,0.509738289851317,0.509649666982527
"inouye1988",0.613178771267279,0.607837905256824,0.607572012903767,0.609316285530806,0.60923783319342,0.606637161697784,0.608474449670948,0.613797934025814,0.603847640863052,0.606878156003649,0.614344281740666,0.605040868030487,0.612492430758766,0.603414978571238,0.610755204748857,0.616762680739858,0.60762838584081,0.607711535922951,0.60606074841651,0.611786829496766,0.608652963971587,0.608337745298616,0.604556060771906,0.609308769139201,0.608406332372019,0.607917297143163,0.606833057654013,0.605371589261145,0.605893038928803,0.60684762066275,0.607797504651943,0.605371589261144,0.605423264453436,0.603447393010039,0.610578099771644,0.608364052669237,0.613344601657083,0.612180500507123,0.610111143943128,0.608478207866752,0.615808099005912,0.604594582278886,0.615625356734993,0.608991671368327,0.613741091314294,0.605130125180805,0.602692465428123,0.613054281031306,0.609199781460916,0.603284381267086,0.602250407646802,0.609630094880352,0.609354337263311,0.618821702265395,0.610382203815416,0.615216183166949,0.603664898592133,0.603693085060656,0.609256154397959,0.611850249050939,0.601900895437129,0.612148555842798,0.602590994141443,0.610191945152892,0.606346371297532,0.609287159513334,0.607349339802442,0.605704189589705,0.605412459640501,0.61132692028538,0.614055840212791,0.60157017420647,0.604404793390838,0.613733574922688,0.609939206485144,0.596901085695791,0.60888597211137,0.610914458296007,0.606336975808025,0.599838115715789,0.608194464083629,0.60633039896537,0.611057739510994,0.614277573765164,0.60869430412542,0.611084516656091,0.609406012455602,0.605792507191074,0.603018488914029,0.603647986711021,0.604472910689766,0.602863463337157,0.601483265928527,0.610212615229807,0.611548653837753,0.606626826659327,0.605182739922047,0.611667976554498,0.600475599678863,0.61063729135554
"junker2013",0.561712829862728,0.558348207757501,0.556946505394539,0.555576774505302,0.558491757528771,0.555696935748815,0.556047763665146,0.558157988217544,0.565694780356508,0.558740662961763,0.559790035392846,0.56022379602457,0.558900413043544,0.555255450465723,0.557744075648366,0.555131105036051,0.555483864115227,0.562024068940794,0.555258454496812,0.559207575222277,0.559159832585346,0.562933753926292,0.555838768930891,0.559064883745604,0.557981286817484,0.56039931726956,0.559176462043153,0.562112151423763,0.561778811259834,0.554660330449856,0.557855117511794,0.561631291876056,0.559698627018318,0.559938842218523,0.555125311547524,0.558901378624965,0.559855265782184,0.557447964012563,0.558413545433661,0.557303555946698,0.557975815189431,0.561068143333908,0.561894895604015,0.555571088303597,0.557974420460708,0.55395137911312,0.554944640534957,0.560405110758088,0.558189101396669,0.553371815686812,0.560781258365017,0.557941483405569,0.558507314118333,0.556280254213983,0.559543168409521,0.556141746923468,0.561019971549677,0.558890006221561,0.553292208862984,0.558870372732664,0.5650414035949,0.556907774850871,0.556268130802807,0.555779761177381,0.558471480318927,0.56212288010622,0.556297741966385,0.562145410339378,0.558110138293787,0.558481457993611,0.557682385724241,0.560036044081579,0.565352857246616,0.555920521491211,0.562314601661721,0.558936568703421,0.556110741031168,0.566106976336494,0.561985982118073,0.557452791919668,0.557785702936298,0.555668182879831,0.555981031260266,0.561031451239905,0.558533062956229,0.558788620172346,0.558739697380344,0.555620547529725,0.560605522546377,0.556764761513725,0.562941371290838,0.559360566234109,0.564025397366255,0.555888120870193,0.56090442363962,0.560713023944593,0.55893957273451,0.559954720668556,0.557680025414101,0.556690626317949
"kato1990",0.619597900191268,0.625985552454662,0.621313485028128,0.619711853055333,0.621533176362681,0.624322399917224,0.619501075211683,0.623740051845051,0.616992539233338,0.624704107056961,0.622911271965635,0.621787997337836,0.623175705529017,0.618152166922068,0.622219340387691,0.618181354235406,0.623285813357783,0.621250216720164,0.617756477835813,0.620543079775388,0.619698570206146,0.623142323631726,0.62105254695138,0.616331367937719,0.622115699209177,0.616633727531007,0.618368537544319,0.61773480581872,0.622418408351137,0.617477363228594,0.618265420688805,0.61783407763895,0.618554672207242,0.622888551302549,0.618527057862883,0.621202678102027,0.623114884061696,0.628050511179963,0.617768886813344,0.619098395152174,0.618835359783442,0.6192845298151,0.619232097515683,0.62131365980246,0.622574307054725,0.624743431281525,0.625443926801707,0.620333700126394,0.618831165199492,0.619563469647983,0.620359916276103,0.6198759661525,0.619013280052793,0.620030466661443,0.618876781299981,0.617371799532441,0.623450625552284,0.619841710383548,0.622036526437061,0.631908654545244,0.620726592823345,0.625849228476188,0.624999999999998,0.619946749756708,0.623283366517147,0.620645672307912,0.618785898647665,0.621766849643739,0.619764460129078,0.619296764018291,0.616817590127625,0.619930845292556,0.625955316495333,0.626843694421761,0.617301889799887,0.626020682095277,0.617949079149001,0.616173896265141,0.619105735674095,0.620072237726643,0.621098512600528,0.625050684556098,0.62731104098388,0.618435650887571,0.621830991823352,0.621513951186225,0.623836527275977,0.619711678281002,0.621327641748971,0.621063557734251,0.61831575569624,0.621751294728246,0.618962595496692,0.615361719947199,0.617500083891676,0.614033609803021,0.620036234214381,0.622228079104257,0.618962945045355,0.619077771781073
"kevan1970",0.533608282987949,0.536199269534393,0.533749198220603,0.535463274144222,0.534697744680763,0.535191654927657,0.53403589866608,0.536199269534393,0.536050813687282,0.534170687149489,0.533690130074027,0.533989084017997,0.532690213177883,0.534923963114455,0.536050813687282,0.535191654927657,0.535611729991332,0.536330444806707,0.530759344588642,0.531747793466968,0.536050813687282,0.535738192379612,0.535191654927657,0.536330444806707,0.533405628974433,0.535611729991332,0.536330444806707,0.534605686345942,0.532315538897081,0.535203594233879,0.536199269534393,0.534170687149489,0.534949883976649,0.533769463621954,0.536199269534393,0.53356963733886,0.535325657930393,0.534697744680763,0.534605686345942,0.536199269534393,0.534724136831361,0.536050813687282,0.533637659965102,0.534299977268189,0.536199269534393,0.534026629994144,0.533763808161112,0.534605686345942,0.536330444806707,0.533555341590619,0.534923963114455,0.534198807357565,0.534621867247795,0.534935902420678,0.533579377299199,0.53416063299688,0.533989084017997,0.535072418961565,0.53406480435483,0.533421652780154,0.532889253980305,0.535191654927657,0.533366512036941,0.534734976464642,0.533916348507719,0.533873932551402,0.53406480435483,0.533873932551402,0.535072418961565,0.534621867247795,0.536199269534393,0.536199269534393,0.533713380301935,0.534137539865107,0.53356963733886,0.535611729991332,0.533916348507719,0.535012094045914,0.532850608331216,0.535072418961565,0.533797112541628,0.535191654927657,0.533763808161112,0.53251065229614,0.534170687149489,0.532634601146267,0.536199269534393,0.533749198220603,0.536199269534393,0.53406480435483,0.536199269534393,0.534923963114455,0.533555341590619,0.534697744680763,0.534026629994144,0.535191654927657,0.536330444806707,0.535072418961565,0.534949883976649,0.535072418961565
"memmott1999",0.3031170568225,0.303799253340004,0.304299306954648,0.3026614897233,0.304092192847366,0.302950652073691,0.30223383161728,0.304269509382983,0.304138148257188,0.304565806363209,0.303386494019816,0.304299306954648,0.304451442443787,0.303386494019816,0.303609136439094,0.303088098619051,0.304451442443787,0.304299306954648,0.30291371987219,0.303637255274328,0.303400763279487,0.303220718797169,0.304269509382983,0.303301927672061,0.303849195748852,0.303633268275302,0.303138880396115,0.304421644872121,0.303352499607071,0.30414087620389,0.304299306954648,0.30431147779378,0.304125138049841,0.303970484456055,0.303617110437145,0.303770295136554,0.304008465867826,0.302650368094439,0.303634317485572,0.303279474572284,0.304299306954648,0.303339909083832,0.304299306954648,0.304098488108985,0.303651944218107,0.302976042962223,0.301247154279446,0.303728326725757,0.303757075087153,0.304202779609816,0.303592768758883,0.300231099054053,0.303617110437145,0.304269509382983,0.303021368845884,0.304269509382983,0.304299306954648,0.303994616292263,0.302830832260866,0.303592768758883,0.303442941532338,0.303770295136554,0.303341168136156,0.302200886414805,0.304125138049841,0.304138148257188,0.303617110437145,0.302950652073691,0.302998286219945,0.303502326833616,0.301817504982175,0.303994616292263,0.303863884692631,0.303400763279487,0.302641764570226,0.303888016528839,0.304138148257188,0.303994616292263,0.304192707191224,0.30414087620389,0.304269509382983,0.302704297502313,0.303640402905137,0.303994616292263,0.304125138049841,0.303882140951328,0.304092192847366,0.303762950664664,0.303717205096896,0.303633268275302,0.303891374001703,0.303940686884389,0.303770295136554,0.303947821514225,0.302950652073691,0.303740497564888,0.303988740714752,0.304565806363209,0.304299306954648,0.304192707191224
"mosquin1967",0.44380708398307,0.443361550456672,0.441078191133883,0.440242815771887,0.44380708398307,0.441078191133883,0.44380708398307,0.44380708398307,0.44380708398307,0.44380708398307,0.44380708398307,0.441078191133883,0.443361550456672,0.440242815771887,0.440966807752283,0.44380708398307,0.441078191133883,0.44380708398307,0.441078191133883,0.44380708398307,0.44380708398307,0.441078191133883,0.44380708398307,0.44380708398307,0.442303408331477,0.443361550456672,0.44380708398307,0.44380708398307,0.44380708398307,0.443361550456672,0.44380708398307,0.44380708398307,0.440966807752283,0.44380708398307,0.44380708398307,0.442303408331477,0.44380708398307,0.44380708398307,0.44380708398307,0.440966807752283,0.44380708398307,0.44380708398307,0.44380708398307,0.442303408331477,0.443361550456672,0.443361550456672,0.442303408331477,0.44380708398307,0.441078191133883,0.44380708398307,0.443361550456672,0.441078191133883,0.44380708398307,0.443361550456672,0.44380708398307,0.443361550456672,0.44380708398307,0.44380708398307,0.44380708398307,0.44380708398307,0.44380708398307,0.443361550456672,0.44380708398307,0.44380708398307,0.44380708398307,0.440966807752283,0.443361550456672,0.44380708398307,0.442303408331477,0.440966807752283,0.44380708398307,0.44380708398307,0.443361550456672,0.44380708398307,0.44380708398307,0.44380708398307,0.440242815771887,0.44380708398307,0.44380708398307,0.443361550456672,0.442303408331477,0.44380708398307,0.44380708398307,0.44380708398307,0.44380708398307,0.44380708398307,0.44380708398307,0.44380708398307,0.44380708398307,0.44380708398307,0.44380708398307,0.441078191133883,0.442303408331477,0.442303408331477,0.44380708398307,0.44380708398307,0.44380708398307,0.441078191133883,0.440688349298284,0.44380708398307
