"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"motten1982",0.304465,0.303927,0.299183,0.303927,0.312534,0.305443,0.303927,0.300846,0.305003,0.301726,0.309893,0.307986,0.305443,0.300161,0.302166,0.312534,0.305443,0.307986,0.305003,0.303585,0.312534,0.305443,0.303291,0.305443,0.293804,0.297032,0.307252,0.307986,0.305443,0.305443,0.30559,0.301433,0.303487,0.302313,0.296102,0.295956,0.305443,0.302704,0.303291,0.296592,0.305003,0.305443,0.303585,0.292044,0.303585,0.303585,0.307252,0.303585,0.303487,0.303927,0.309159,0.303927,0.305443,0.302704,0.305003,0.303585,0.312534,0.305443,0.303927,0.303585,0.307986,0.305443,0.309159,0.305443,0.297032,0.303927,0.30559,0.303585,0.305443,0.305443,0.305443,0.305443,0.303291,0.289403,0.295516,0.302704,0.289696,0.305443,0.295516,0.305443,0.295516,0.304171,0.303585,0.296102,0.305443,0.312534,0.303487,0.303585,0.303585,0.303927,0.312534,0.301482,0.305443,0.303487,0.301726,0.305443,0.302704,0.309159,0.296102,0.303487
"olesen2002aigrettes",0.340237,0.33358,0.33432,0.327663,0.321746,0.324704,0.332101,0.332101,0.33358,0.325074,0.332101,0.332101,0.327663,0.327663,0.340237,0.327663,0.33432,0.309541,0.33432,0.33432,0.33432,0.340237,0.33358,0.340237,0.340237,0.33358,0.33432,0.340237,0.332101,0.327663,0.340237,0.340237,0.332101,0.315089,0.332101,0.340237,0.33432,0.33432,0.340237,0.33432,0.340237,0.332101,0.340237,0.33358,0.340237,0.33358,0.33358,0.327663,0.324704,0.33432,0.316568,0.33432,0.33358,0.33358,0.33358,0.33358,0.33432,0.340237,0.327663,0.316568,0.33432,0.340237,0.33358,0.315089,0.340237,0.327663,0.33358,0.33358,0.33432,0.327663,0.332101,0.33432,0.33432,0.332101,0.324704,0.33358,0.316568,0.324704,0.33358,0.340237,0.33432,0.340237,0.33358,0.340237,0.33358,0.33432,0.332101,0.33358,0.33358,0.33358,0.306583,0.324704,0.33358,0.33432,0.33432,0.33432,0.33358,0.332101,0.33358,0.315089
"olesen2002flores",0.441111,0.441111,0.441111,0.424444,0.441111,0.441111,0.422222,0.424444,0.444444,0.444444,0.441111,0.441111,0.441111,0.441111,0.444444,0.441111,0.422222,0.422222,0.444444,0.441111,0.441111,0.441111,0.444444,0.441111,0.441111,0.444444,0.422222,0.444444,0.444444,0.422222,0.441111,0.444444,0.441111,0.444444,0.444444,0.444444,0.441111,0.444444,0.441111,0.441111,0.424444,0.441111,0.441111,0.422222,0.424444,0.441111,0.441111,0.422222,0.444444,0.441111,0.441111,0.441111,0.422222,0.441111,0.444444,0.441111,0.444444,0.441111,0.422222,0.422222,0.441111,0.444444,0.441111,0.441111,0.441111,0.441111,0.444444,0.422222,0.441111,0.441111,0.441111,0.441111,0.444444,0.441111,0.422222,0.424444,0.424444,0.441111,0.441111,0.444444,0.441111,0.424444,0.441111,0.441111,0.441111,0.441111,0.441111,0.444444,0.422222,0.444444,0.441111,0.444444,0.444444,0.441111,0.441111,0.441111,0.422222,0.441111,0.441111,0.424444
"ollerton2003",0.290885,0.332642,0.444622,0.371194,0.34876,0.343953,0.34876,NA,0.301819,0.34876,0.315393,0.230276,0.125837,0.264964,0.281836,0.018286,0.384768,0.145443,0.018286,0.293901,0.166557,0.315393,NA,0.293901,NA,0.301819,0.290885,0.281836,0.386841,0.34876,0.264964,0.34876,0.335376,0.106136,0.176642,0.085211,0.343953,0.262324,0.298049,0.34876,0.145443,0.343953,0.33547,0.343953,0.339617,0.147045,0.228014,0.390046,0.145443,0.334433,0.343953,0.290885,0.260911,0.34876,0.228014,0.34876,0.30361,0.262324,0.327929,0.327929,0.335376,0.301819,0.264304,0.296069,0.335376,0.343953,0.262324,0.018286,0.092186,0.343953,0.092186,0.070883,0.343953,0.34876,0.301819,0.227543,0.334433,0.301819,0.343953,0.294655,0.301819,0.34876,0.227543,0.240739,0.070129,0.301819,0.085211,0.240739,0.34876,0.166557,0.34876,0.41314,0.301819,0.389952,0.343953,0.315393,0.34876,0.293901,0.34876,0.290791
"schemske1978",0.284114,0.284114,0.369721,0.284114,0.284114,0.369721,0.369721,0.284114,0.369721,0.284114,0.284114,0.284114,0.284114,0.369721,0.284114,0.284114,0.369721,0.369721,0.284114,0.369721,0.369721,0.369721,0.369721,0.284114,0.369721,0.284114,0.284114,0.284114,0.369721,0.284114,0.369721,0.369721,0.284114,0.369721,0.369721,0.284114,0.369721,0.369721,0.284114,0.369721,0.369721,0.369721,0.369721,0.284114,0.369721,0.284114,0.284114,0.369721,0.369721,0.369721,0.369721,0.284114,0.369721,0.369721,0.369721,0.284114,0.284114,0.369721,0.284114,0.284114,0.369721,0.284114,0.284114,0.284114,0.369721,0.369721,0.369721,0.369721,0.284114,0.284114,0.284114,0.369721,0.284114,0.369721,0.369721,0.369721,0.284114,0.369721,0.284114,0.284114,0.284114,0.369721,0.369721,0.369721,0.369721,0.284114,0.284114,0.284114,0.284114,0.369721,0.369721,0.284114,0.369721,0.369721,0.369721,0.284114,0.369721,0.284114,0.369721,0.284114
"small1976",0.263015,0.255269,0.256728,0.232483,0.251647,0.256728,0.244605,0.256375,0.263015,0.256375,0.238922,0.255269,0.245159,0.263015,0.251999,0.254363,0.239626,0.266435,0.248328,0.266435,0.250289,0.266435,0.260098,0.263015,0.23867,0.256023,0.266435,0.249987,0.253508,0.250843,0.243398,0.258488,0.245259,0.263015,0.253257,0.261104,0.24707,0.260098,0.250088,0.256426,0.247221,0.234344,0.260098,0.263015,0.254866,0.264222,0.259142,0.264222,0.242543,0.247221,0.264222,0.241286,0.255671,0.264222,0.246165,0.253508,0.252351,0.257633,0.249484,0.255671,0.256728,0.266435,0.264222,0.260098,0.247422,0.257985,0.250541,0.257331,0.259192,0.263015,0.24868,0.253508,0.266435,0.255973,0.258488,0.245963,0.26221,0.25547,0.253257,0.2521,0.256325,0.263015,0.251547,0.266435,0.236859,0.254866,0.257985,0.261104,0.251547,0.248428,0.266435,0.247925,0.250943,0.257985,0.248378,0.266435,0.242644,0.263015,0.256979,0.240934
"vazarr",0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915,0.541915
"vazcer",0.618765,0.546667,0.256296,0.546667,0.277531,0.546667,0.546667,0.546667,0.256296,0.256296,0.546667,0.618765,0.546667,0.256296,0.256296,0.277531,0.546667,0.256296,0.546667,0.546667,0.256296,0.618765,0.618765,0.546667,0.546667,0.256296,0.256296,0.618765,0.546667,0.618765,0.546667,0.546667,0.546667,0.546667,0.546667,0.546667,0.618765,0.256296,0.546667,0.546667,0.618765,0.256296,0.256296,0.546667,0.546667,0.618765,0.546667,0.546667,0.618765,0.546667,0.546667,0.546667,0.618765,0.546667,0.256296,0.277531,0.256296,0.546667,0.618765,0.546667,0.618765,0.546667,0.546667,0.546667,0.256296,0.546667,0.256296,0.618765,0.618765,0.256296,0.546667,0.618765,0.546667,0.256296,0.546667,0.256296,0.546667,0.546667,0.256296,0.256296,0.618765,0.618765,0.618765,0.546667,0.618765,0.546667,0.618765,0.618765,0.256296,0.256296,0.618765,0.256296,0.618765,0.618765,0.546667,0.546667,0.277531,0.618765,0.618765,0.618765
"vazllao",0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964,0.575964
"vazmasc",0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068,0.547068
"vazmasnc",0.525952,0.525952,0.525952,0.525952,0.525952,0.527489,0.525952,0.428297,0.428297,0.527489,0.43291,0.43291,0.525952,0.525952,0.345636,0.527489,0.527489,0.525952,0.527489,0.525952,0.345636,0.43291,0.525952,0.525952,0.525952,0.525952,0.525952,0.525952,0.525952,0.525952,0.525952,0.525952,0.525952,0.428297,0.525952,0.525952,0.525952,0.525952,0.525952,0.525952,0.428297,0.525952,0.525952,0.527489,0.428297,0.44406,0.525952,0.525952,0.525952,0.525952,0.44406,0.428297,0.525952,0.525952,0.43291,0.525952,0.525952,0.525952,0.525952,0.527489,0.525952,0.525952,0.345636,0.527489,0.525952,0.43291,0.525952,0.43291,0.525952,0.428297,0.525952,0.525952,0.345636,0.525952,0.527489,0.44406,0.527489,0.527489,0.307574,0.428297,0.527489,0.525952,0.527489,0.428297,0.525952,0.525952,0.525952,0.525952,0.525952,0.525952,0.525952,0.525952,0.525952,0.525952,0.527489,0.428297,0.525952,0.44406,0.43291,0.525952
"vazquec",0.494341,0.496605,0.496605,0.488004,0.488004,0.496605,0.488004,0.496605,0.488004,0.496605,0.488004,0.488004,0.488004,0.488004,0.488004,0.496605,0.488004,0.496605,0.488004,0.488004,0.488004,0.488004,0.488004,0.496605,0.488004,0.488004,0.361249,0.494341,0.488004,0.496605,0.496605,0.488004,0.361249,0.488004,0.361249,0.488004,0.361249,0.488004,0.488004,0.361249,0.496605,0.488004,0.488004,0.488004,0.496605,0.488004,0.488004,0.488004,0.488004,0.488004,0.488004,0.494341,0.361249,0.488004,0.494341,0.488004,0.488004,0.496605,0.496605,0.488004,0.488004,0.488004,0.496605,0.496605,0.496605,0.496605,0.488004,0.488004,0.494341,0.496605,0.488004,0.488004,0.488004,0.488004,0.488004,0.488004,0.496605,0.496605,0.496605,0.488004,0.496605,0.488004,0.488004,0.488004,0.488004,0.361249,0.488004,0.488004,0.488004,0.496605,0.494341,0.488004,0.488004,0.488004,0.488004,0.496605,0.488004,0.488004,0.361249,0.496605
"vazquenc",0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428,0.549428
